run_id,T,Ea,k,pe_init,pe_final,n_steps,final_temp,vol_change_fraction,estimated_bonds,vol_init,vol_final,pe_min,pe_max
0,0.5,2.0,1.6851166990545234e-05,-0.25953938218434996,-1.409511101687319,504,0.50061851,0,0,-0.010985642,41279.403,-1.5433729,0.0
1,0.5,4.0,1.6878123559163396e-05,-0.259242274585966,-1.413089479546653,504,0.50436399,0,0,-0.011952717,42587.748,-1.5489634,0.0
10,1.5,6.0,8.907953774934866e-06,0.22712569887080042,-0.620041369072117,504,1.501149,0,0,-0.012708587,52941.727,-0.82886328,0.1356116
11,1.5,8.0,8.789902985834118e-06,0.2300008034035772,-0.6338225156481213,504,1.4964989,0,0,-0.012267772,53815.944,-0.82832683,0.13212671
12,2.0,2.0,0.0008599318821290117,-0.22767031362634438,-0.11644279689759997,504,2.0101259,0,0,-0.01272258,62433.533,-0.82328856,0.27454446
13,2.0,4.0,0.009999999999999998,-0.002381139243671297,-0.1171310527799089,504,2.0007726,0,0,-0.012179147,59455.511,-0.82775842,0.27038124
14,2.0,6.0,0.0008358977859836438,-0.22911533521096553,-0.10866117101032467,504,2.0111446,0,0,-0.012084042,58251.45,-0.82666946,0.27401445
15,2.0,8.0,0.000887220423452211,-0.2315798728205851,-0.10843545150233602,504,2.004005,0,0,-0.012318636,55435.329,-0.82067445,0.27656395
2,0.5,6.0,1.662714986595953e-05,-0.25648839914734,-1.4159819463702967,504,0.49949241,0,0,-0.012287012,40917.126,-1.5459632,0.0
3,0.5,8.0,1.698985763322136e-05,-0.26009810643807985,-1.4078294606898742,504,0.50247018,0,0,-0.012021651,41448.313,-1.5384049,0.0
4,1.0,2.0,8.515066370509299e-06,0.1170050639785081,-1.039269249071928,504,0.99978074,0,0,-0.012354024,44735.402,-1.0989579,0.0
5,1.0,4.0,8.767733320696031e-06,0.11856558300137865,-1.013183807857686,504,1.0032366,0,0,-0.012159834,45276.522,-1.0614763,0.0
6,1.0,6.0,8.631234541004976e-06,0.11485428034796287,-1.0291507339776353,504,1.0034125,0,0,-0.011542109,48260.864,-1.0846045,0.0
7,1.0,8.0,8.672990390304489e-06,0.1172102908828927,-1.0295719404657897,504,1.0023844,0,0,-0.011625255,45387.154,-1.0751212,0.0
8,1.5,2.0,8.635203070765532e-06,0.2340129586023606,-0.6375096315363782,504,1.4910961,0,0,-0.01150308,51489.001,-0.81191679,0.13324827
9,1.5,4.0,8.669614192333782e-06,0.22852388219097633,-0.6285228096646858,504,1.5041949,0,0,-0.011609158,50060.081,-0.82351264,0.13430253
